seq,ts_ns,payload,occ_bytes,current,cost_uds_us,cost_shm_us,queue_wait_shm_us,switch_cost_us,setup_cost_us,health_penalty_us,latency_penalty_us,score_uds_us,score_shm_us,selected,reason
1335,23382691377000,512,48165,SHM,3.77,3.31,3.09,20.00,0.00,0.00,0.00,23.77,3.31,SHM,COST_STABLE
1336,23382691377000,16384,46602,SHM,27.58,3.24,2.99,20.00,0.00,0.00,0.00,47.58,3.24,SHM,COST_STABLE
1337,23382691377000,512,45117,SHM,3.77,3.11,2.89,20.00,0.00,0.00,0.00,23.77,3.11,SHM,COST_STABLE
1338,23382691378000,16384,43733,SHM,27.58,3.05,2.80,20.00,0.00,0.00,0.00,47.58,3.05,SHM,COST_STABLE
1339,23382691378000,512,42391,SHM,3.77,2.94,2.72,20.00,0.00,0.00,0.00,23.77,2.94,SHM,COST_STABLE
1340,23382691379000,16384,41117,SHM,27.58,3.52,3.27,20.00,0.00,0.00,0.00,47.58,3.52,SHM,COST_STABLE
1341,23382691379000,512,39906,SHM,3.77,3.39,3.17,20.00,0.00,0.00,0.00,23.77,3.39,SHM,COST_STABLE
1342,23382691380000,16384,38756,SHM,27.58,4.06,3.81,20.00,0.00,0.00,0.00,47.58,4.06,SHM,COST_STABLE
1343,23382691380000,512,37638,SHM,3.77,3.92,3.70,20.00,0.00,0.00,0.00,23.77,3.92,SHM,COST_STABLE
1344,23382691381000,16384,36601,SHM,27.58,3.85,3.60,20.00,0.00,0.00,0.00,47.58,3.85,SHM,COST_STABLE
1345,23382691381000,512,35591,SHM,3.77,3.72,3.50,20.00,0.00,0.00,0.00,23.77,3.72,SHM,COST_STABLE
1346,23382691381000,16384,34656,SHM,27.58,3.66,3.41,20.00,0.00,0.00,0.00,47.58,3.66,SHM,COST_STABLE
1347,23382691382000,512,33743,SHM,3.77,3.15,2.93,20.00,0.00,0.00,0.00,23.77,3.15,SHM,COST_STABLE
1348,23382691382000,16384,32901,SHM,27.58,3.11,2.86,20.00,0.00,0.00,0.00,47.58,3.11,SHM,COST_STABLE
1349,23382691383000,512,32076,SHM,3.77,2.77,2.55,20.00,0.00,0.00,0.00,23.77,2.77,SHM,COST_STABLE
1350,23382691383000,16384,31317,SHM,27.58,2.74,2.49,20.00,0.00,0.00,0.00,47.58,2.74,SHM,COST_STABLE
1351,23382691383000,512,30571,SHM,3.77,2.65,2.43,20.00,0.00,0.00,0.00,23.77,2.65,SHM,COST_STABLE
1352,23382691384000,16384,29887,SHM,27.58,2.62,2.37,20.00,0.00,0.00,0.00,47.58,2.62,SHM,COST_STABLE
1353,23382691384000,512,30058,SHM,3.77,2.61,2.39,20.00,0.00,0.00,0.00,23.77,2.61,SHM,COST_STABLE
1354,23382691384000,16384,30245,SHM,27.58,2.65,2.40,20.00,0.00,0.00,0.00,47.58,2.65,SHM,COST_STABLE
1355,23382691385000,512,31243,SHM,3.77,2.70,2.48,20.00,0.00,0.00,0.00,23.77,2.70,SHM,COST_STABLE
1356,23382691385000,16384,32217,SHM,27.58,2.81,2.56,20.00,0.00,0.00,0.00,47.58,2.81,SHM,COST_STABLE
1357,23382691386000,512,33961,SHM,3.77,2.90,2.70,20.00,0.00,0.00,0.00,23.77,2.90,SHM,COST_STABLE
1358,23382691386000,16384,35644,SHM,27.58,3.07,2.83,20.00,0.00,0.00,0.00,47.58,3.07,SHM,COST_STABLE
1359,23382691387000,512,38063,SHM,3.77,3.21,3.02,20.00,0.00,0.00,0.00,23.77,3.21,SHM,COST_STABLE
1360,23382691387000,16384,40386,SHM,27.58,3.52,3.21,20.00,0.00,0.00,0.00,47.58,3.52,SHM,COST_STABLE
1361,23382691388000,512,43413,SHM,3.77,3.62,3.45,20.00,0.00,0.00,0.00,23.77,3.62,SHM,COST_STABLE
1362,23382691388000,16384,46314,SHM,27.58,4.06,3.68,20.00,0.00,0.00,0.00,47.58,4.06,SHM,COST_STABLE
1363,23382691388000,512,49889,SHM,3.77,4.11,3.96,20.00,0.00,0.00,0.00,23.77,4.11,SHM,COST_STABLE
1364,23382691389000,16384,53312,SHM,27.58,4.58,4.23,20.00,0.00,0.00,0.00,47.58,4.58,SHM,COST_STABLE
1365,23382691389000,512,57383,SHM,3.77,4.69,4.56,20.00,0.00,0.00,0.00,23.77,4.69,SHM,COST_STABLE
1366,23382691390000,16384,61276,SHM,27.58,5.17,4.86,20.00,0.00,0.00,0.00,47.58,5.17,SHM,COST_STABLE
1367,23382691390000,512,65794,SHM,3.77,5.45,5.22,20.00,0.00,0.00,0.00,23.77,5.45,SHM,COST_STABLE
1368,23382691391000,16384,70112,SHM,27.58,5.84,5.57,20.00,0.00,0.00,0.00,47.58,5.84,SHM,COST_STABLE
1369,23382691391000,512,75034,SHM,3.77,6.16,5.96,20.00,0.00,0.00,0.00,23.77,6.16,SHM,COST_STABLE
1370,23382691392000,16384,79735,SHM,27.58,6.58,6.33,20.00,0.00,0.00,0.00,47.58,6.58,SHM,COST_STABLE
1371,23382691392000,512,85021,SHM,3.77,6.95,6.75,20.00,0.00,0.00,0.00,23.77,6.95,SHM,COST_STABLE
1372,23382691393000,16384,90068,SHM,27.58,7.40,7.15,20.00,0.00,0.00,0.00,47.58,7.40,SHM,COST_STABLE
1373,23382691393000,512,95682,SHM,3.77,7.80,7.60,20.00,0.00,0.00,0.00,23.77,7.80,SHM,COST_STABLE
1374,23382691394000,16384,101042,SHM,27.58,8.27,8.02,20.00,0.00,0.00,0.00,47.58,8.27,SHM,COST_STABLE
1375,23382691394000,512,106953,SHM,3.77,8.69,8.49,20.00,0.00,0.00,0.00,23.77,8.69,SHM,COST_STABLE
1376,23382691394000,16384,112594,SHM,27.58,9.19,8.94,20.00,0.00,0.00,0.00,47.58,9.19,SHM,COST_STABLE
1377,23382691395000,512,118773,SHM,3.77,9.63,9.43,20.00,0.00,0.00,0.00,23.77,9.63,SHM,COST_STABLE
1378,23382691395000,16384,124668,SHM,27.58,10.15,9.90,20.00,0.00,0.00,0.00,47.58,10.15,SHM,COST_STABLE
1379,23382691396000,512,131088,SHM,3.77,10.61,10.41,20.00,0.00,0.00,0.00,23.77,10.61,SHM,COST_STABLE
1380,23382691396000,16384,137213,SHM,27.58,11.14,10.89,20.00,0.00,0.00,0.00,47.58,11.14,SHM,COST_STABLE
1381,23382691397000,512,143872,SHM,3.77,11.65,11.42,20.00,0.00,0.00,0.00,23.77,11.65,SHM,COST_STABLE
1382,23382691397000,16384,150223,SHM,27.58,12.17,11.93,20.00,0.00,0.00,0.00,47.58,12.17,SHM,COST_STABLE
1383,23382691398000,512,157076,SHM,3.77,12.68,12.47,20.00,0.00,0.00,0.00,23.77,12.68,SHM,COST_STABLE
1384,23382691398000,16384,163613,SHM,27.58,13.29,12.99,20.00,0.00,0.00,0.00,47.58,13.29,SHM,COST_STABLE
1385,23382691398000,512,170642,SHM,3.77,13.73,13.55,20.00,0.00,0.00,0.00,23.77,13.73,SHM,COST_STABLE
1386,23382691399000,16384,177345,SHM,27.58,14.35,14.08,20.00,0.00,0.00,0.00,47.58,14.35,SHM,COST_STABLE
1387,23382691399000,512,184533,SHM,3.77,14.82,14.65,20.00,0.00,0.00,0.00,23.77,14.82,SHM,COST_STABLE
1388,23382691399000,16384,191387,SHM,27.58,15.44,15.19,20.00,0.00,0.00,0.00,47.58,15.44,SHM,COST_STABLE
1389,23382691400000,512,198718,SHM,3.77,15.93,15.78,20.00,0.00,0.00,0.00,23.77,15.93,SHM,COST_STABLE
1390,23382691400000,16384,205709,SHM,27.58,16.55,16.33,20.00,0.00,0.00,0.00,47.58,16.55,SHM,COST_STABLE
1391,23382691400000,512,213169,SHM,3.77,17.06,16.92,20.00,0.00,0.00,0.00,23.77,17.06,SHM,COST_STABLE
1392,23382691400000,16384,220282,SHM,27.58,17.69,17.49,20.00,0.00,0.00,0.00,47.58,17.69,SHM,COST_STABLE
1393,23382691401000,512,227859,SHM,3.77,18.21,18.09,20.00,0.00,0.00,0.00,23.77,18.21,SHM,COST_STABLE
1394,23382691401000,16384,235083,SHM,27.58,18.94,18.66,20.00,0.00,0.00,0.00,47.58,18.94,SHM,COST_STABLE
1395,23382691401000,512,242765,SHM,3.77,19.38,19.27,20.00,0.00,0.00,0.00,23.77,19.38,SHM,COST_STABLE
1396,23382691401000,16384,250088,SHM,27.58,20.10,19.85,20.00,0.00,0.00,0.00,47.58,20.10,SHM,COST_STABLE
1397,23382691402000,512,257866,SHM,3.77,20.57,20.47,20.00,0.00,0.00,0.00,23.77,20.57,SHM,COST_STABLE
1398,23382691402000,16384,265280,SHM,27.58,21.29,21.06,20.00,0.00,0.00,0.00,47.58,21.29,SHM,COST_STABLE
1399,23382691403000,512,273143,SHM,3.77,21.77,21.68,20.00,0.00,0.00,0.00,23.77,21.77,SHM,COST_STABLE
1400,23382691403000,16384,280638,SHM,27.58,22.48,22.28,20.00,0.00,0.00,0.00,47.58,22.48,SHM,COST_STABLE
1401,23382691403000,512,288578,SHM,3.77,22.99,22.91,20.00,0.00,0.00,0.00,23.77,22.99,SHM,COST_STABLE
1402,23382691403000,512,296147,SHM,3.77,23.58,23.51,20.00,0.00,0.00,0.00,23.77,23.58,SHM,COST_STABLE
1403,23382691404000,512,303364,SHM,3.77,24.25,24.08,20.00,0.00,0.00,0.00,23.77,24.25,SHM,STICKY_MARGIN
1404,23382691404000,512,310245,SHM,3.77,24.78,24.63,20.00,0.00,0.00,0.00,23.77,24.78,SHM,STICKY_MARGIN
1405,23382691404000,512,316809,SHM,3.77,25.29,25.15,20.00,0.00,0.00,0.00,23.77,25.29,SHM,STICKY_MARGIN
1406,23382691404000,512,323069,SHM,3.77,25.77,25.65,20.00,0.00,0.00,0.00,23.77,25.77,SHM,STICKY_MARGIN
1407,23382691405000,512,329043,SHM,3.77,26.23,26.12,20.00,0.00,0.00,0.00,23.77,26.23,SHM,STICKY_MARGIN
1408,23382691405000,512,334744,SHM,3.77,26.67,26.58,20.00,0.00,0.00,0.00,23.77,26.67,SHM,STICKY_MARGIN
1409,23382691405000,512,340186,SHM,3.77,27.10,27.01,20.00,0.00,0.00,0.00,23.77,27.10,SHM,STICKY_MARGIN
1410,23382691405000,512,345381,SHM,3.77,27.50,27.42,20.00,0.00,0.00,0.00,23.77,27.50,SHM,STICKY_MARGIN
1411,23382691405000,512,350343,SHM,3.77,27.89,27.81,20.00,0.00,0.00,0.00,23.77,27.89,SHM,STICKY_MARGIN
1412,23382691405000,512,355082,SHM,3.77,28.25,28.19,20.00,0.00,0.00,0.00,23.77,28.25,SHM,STICKY_MARGIN
1413,23382691406000,512,359610,SHM,3.77,28.61,28.55,20.00,0.00,0.00,0.00,23.77,28.61,SHM,STICKY_MARGIN
1414,23382691406000,512,363938,SHM,3.77,28.95,28.89,20.00,0.00,0.00,0.00,23.77,28.95,UDS,QUEUE_PRESSURE
1415,23382691410000,512,368049,UDS,3.77,36.48,36.43,20.00,0.00,0.00,0.00,3.77,56.48,UDS,COST_STABLE
1416,23382691413000,512,371955,UDS,3.77,45.88,45.83,20.00,0.00,0.00,0.00,3.77,65.88,UDS,COST_STABLE
1417,23382691415000,512,374001,UDS,3.77,37.93,37.88,20.00,0.00,0.00,0.00,3.77,57.93,UDS,COST_STABLE
1418,23382691417000,512,373408,UDS,3.77,28.73,28.68,20.00,0.00,0.00,0.00,3.77,48.73,UDS,COST_STABLE
1419,23382691419000,512,370309,UDS,3.77,23.88,23.83,20.00,0.00,0.00,0.00,3.77,43.88,UDS,COST_STABLE
1420,23382691421000,512,365649,UDS,3.77,23.02,22.97,20.00,0.00,0.00,0.00,3.77,43.02,UDS,COST_STABLE
1421,23382691423000,512,358712,UDS,3.77,20.20,20.15,20.00,0.00,0.00,0.00,3.77,40.20,UDS,COST_STABLE
1422,23382691426000,512,350385,UDS,3.77,21.17,21.12,20.00,0.00,0.00,0.00,3.77,41.17,UDS,COST_STABLE
1423,23382691428000,512,339938,UDS,3.77,18.53,18.48,20.00,0.00,0.00,0.00,3.77,38.53,UDS,COST_STABLE
1424,23382691430000,512,327504,UDS,3.77,16.60,16.55,20.00,0.00,0.00,0.00,3.77,36.60,UDS,COST_STABLE
1425,23382691432000,512,313155,UDS,3.77,15.00,14.94,20.00,0.00,0.00,0.00,3.77,35.00,UDS,COST_STABLE
1426,23382691434000,512,297497,UDS,3.77,14.31,14.26,20.00,0.00,0.00,0.00,3.77,34.31,UDS,COST_STABLE
1427,23382691437000,512,282622,UDS,3.77,16.95,16.89,20.00,0.00,0.00,0.00,3.77,36.95,UDS,COST_STABLE
1428,23382691439000,512,268491,UDS,3.77,20.04,19.99,20.00,0.00,0.00,0.00,3.77,40.04,UDS,COST_STABLE
1429,23382691442000,512,255067,UDS,3.77,23.71,23.66,20.00,0.00,0.00,0.00,3.77,43.71,UDS,COST_STABLE
1430,23382691445000,512,242313,UDS,3.77,28.03,27.98,20.00,0.00,0.00,0.00,3.77,48.03,UDS,COST_STABLE
1431,23382691447000,512,230198,UDS,3.77,33.04,32.99,20.00,0.00,0.00,0.00,3.77,53.04,UDS,COST_STABLE
1432,23382691450000,512,218688,UDS,3.77,38.98,38.93,20.00,0.00,0.00,0.00,3.77,58.98,UDS,COST_STABLE
1433,23382691453000,512,207753,UDS,3.77,45.94,45.88,20.00,0.00,0.00,0.00,3.77,65.94,UDS,COST_STABLE
1434,23382691456000,512,197366,UDS,3.77,54.03,53.98,20.00,0.00,0.00,0.00,3.77,74.03,UDS,COST_STABLE
1435,23382691459000,512,187497,UDS,3.77,63.41,63.36,20.00,0.00,0.00,0.00,3.77,83.41,UDS,COST_STABLE
1436,23382691462000,512,178122,UDS,3.77,74.22,74.17,20.00,0.00,0.00,0.00,3.77,94.22,UDS,COST_STABLE
1437,23382691464000,512,169216,UDS,3.77,85.84,85.79,20.00,0.00,0.00,0.00,3.77,105.84,UDS,COST_STABLE
1438,23382691467000,512,160755,UDS,3.77,99.77,99.72,20.00,0.00,0.00,0.00,3.77,119.77,UDS,COST_STABLE
1439,23382691470000,512,152718,UDS,3.77,115.42,115.37,20.00,0.00,0.00,0.00,3.77,135.42,UDS,COST_STABLE
1440,23382691473000,512,145082,UDS,3.77,132.77,132.72,20.00,0.00,0.00,0.00,3.77,152.77,UDS,COST_STABLE
1441,23382691476000,512,137828,UDS,3.77,151.74,151.68,20.00,0.00,0.00,0.00,3.77,171.74,UDS,COST_STABLE
1442,23382691478000,512,130936,UDS,3.77,168.32,168.27,20.00,0.00,0.00,0.00,3.77,188.32,UDS,COST_STABLE
1443,23382691481000,512,124389,UDS,3.77,189.49,189.43,20.00,0.00,0.00,0.00,3.77,209.49,UDS,COST_STABLE
1444,23382691484000,512,118170,UDS,3.77,211.28,211.23,20.00,0.00,0.00,0.00,3.77,231.28,UDS,COST_STABLE
1445,23382691486000,512,112261,UDS,3.77,225.14,225.08,20.00,0.00,0.00,0.00,3.77,245.14,UDS,COST_STABLE
1446,23382691489000,512,106648,UDS,3.77,246.28,246.22,20.00,0.00,0.00,0.00,3.77,266.28,UDS,COST_STABLE
1447,23382691492000,512,101316,UDS,3.77,266.22,266.17,20.00,0.00,0.00,0.00,3.77,286.22,UDS,COST_STABLE
1448,23382691494000,512,96250,UDS,3.77,270.64,270.58,20.00,0.00,0.00,0.00,3.77,290.64,UDS,COST_STABLE
1449,23382691497000,512,91438,UDS,3.77,286.96,286.91,20.00,0.00,0.00,0.00,3.77,306.96,UDS,COST_STABLE
