seq,payload_bytes,ewma_bytes,route,switched
226,512,512.0,UDS,0
227,512,512.0,UDS,0
228,512,512.0,UDS,0
229,512,512.0,UDS,0
230,512,512.0,UDS,0
231,512,512.0,UDS,0
232,512,512.0,UDS,0
233,512,512.0,UDS,0
234,512,512.0,UDS,0
235,512,512.0,UDS,0
236,512,512.0,UDS,0
237,512,512.0,UDS,0
238,512,512.0,UDS,0
239,512,512.0,UDS,0
240,512,512.0,UDS,0
241,512,512.0,UDS,0
242,512,512.0,UDS,0
243,512,512.0,UDS,0
244,512,512.0,UDS,0
245,512,512.0,UDS,0
246,512,512.0,UDS,0
247,512,512.0,UDS,0
248,512,512.0,UDS,0
249,512,512.0,UDS,0
250,512,512.0,UDS,0
251,512,512.0,UDS,0
252,512,512.0,UDS,0
253,512,512.0,UDS,0
254,512,512.0,UDS,0
255,512,512.0,UDS,0
256,512,512.0,UDS,0
257,512,512.0,UDS,0
258,512,512.0,UDS,0
259,512,512.0,UDS,0
260,512,512.0,UDS,0
261,512,512.0,UDS,0
262,512,512.0,UDS,0
263,512,512.0,UDS,0
264,512,512.0,UDS,0
265,512,512.0,UDS,0
266,512,512.0,UDS,0
267,512,512.0,UDS,0
268,512,512.0,UDS,0
269,512,512.0,UDS,0
270,512,512.0,UDS,0
271,512,512.0,UDS,0
272,512,512.0,UDS,0
273,512,512.0,UDS,0
274,512,512.0,UDS,0
275,512,512.0,UDS,0
276,512,512.0,UDS,0
277,512,512.0,UDS,0
278,512,512.0,UDS,0
279,512,512.0,UDS,0
280,512,512.0,UDS,0
281,512,512.0,UDS,0
282,512,512.0,UDS,0
283,512,512.0,UDS,0
284,512,512.0,UDS,0
285,512,512.0,UDS,0
286,512,512.0,UDS,0
287,512,512.0,UDS,0
288,512,512.0,UDS,0
289,512,512.0,UDS,0
290,512,512.0,UDS,0
291,512,512.0,UDS,0
292,512,512.0,UDS,0
293,512,512.0,UDS,0
294,512,512.0,UDS,0
295,512,512.0,UDS,0
296,512,512.0,UDS,0
297,512,512.0,UDS,0
298,512,512.0,UDS,0
299,512,512.0,UDS,0
300,512,512.0,UDS,0
301,512,512.0,UDS,0
302,512,512.0,UDS,0
303,512,512.0,UDS,0
304,512,512.0,UDS,0
305,512,512.0,UDS,0
306,512,512.0,UDS,0
307,512,512.0,UDS,0
308,512,512.0,UDS,0
309,512,512.0,UDS,0
310,512,512.0,UDS,0
311,512,512.0,UDS,0
312,512,512.0,UDS,0
313,512,512.0,UDS,0
314,512,512.0,UDS,0
315,512,512.0,UDS,0
316,512,512.0,UDS,0
317,512,512.0,UDS,0
318,512,512.0,UDS,0
319,512,512.0,UDS,0
320,512,512.0,UDS,0
321,512,512.0,UDS,0
322,512,512.0,UDS,0
323,512,512.0,UDS,0
324,512,512.0,UDS,0
325,512,512.0,UDS,0
326,512,512.0,UDS,0
327,512,512.0,UDS,0
328,512,512.0,UDS,0
329,512,512.0,UDS,0
330,512,512.0,UDS,0
331,512,512.0,UDS,0
332,512,512.0,UDS,0
333,512,512.0,UDS,0
334,512,512.0,UDS,0
335,512,512.0,UDS,0
336,512,512.0,UDS,0
337,512,512.0,UDS,0
338,512,512.0,UDS,0
339,512,512.0,UDS,0
340,512,512.0,UDS,0
341,512,512.0,UDS,0
342,512,512.0,UDS,0
343,512,512.0,UDS,0
344,512,512.0,UDS,0
345,512,512.0,UDS,0
346,512,512.0,UDS,0
347,512,512.0,UDS,0
348,512,512.0,UDS,0
349,512,512.0,UDS,0
350,512,512.0,UDS,0
351,512,512.0,UDS,0
352,512,512.0,UDS,0
353,512,512.0,UDS,0
354,512,512.0,UDS,0
355,512,512.0,UDS,0
356,512,512.0,UDS,0
357,512,512.0,UDS,0
358,512,512.0,UDS,0
359,512,512.0,UDS,0
360,512,512.0,UDS,0
361,512,512.0,UDS,0
362,512,512.0,UDS,0
363,512,512.0,UDS,0
364,512,512.0,UDS,0
365,512,512.0,UDS,0
366,512,512.0,UDS,0
367,512,512.0,UDS,0
368,512,512.0,UDS,0
369,512,512.0,UDS,0
370,512,512.0,UDS,0
371,512,512.0,UDS,0
372,512,512.0,UDS,0
373,512,512.0,UDS,0
374,512,512.0,UDS,0
375,512,512.0,UDS,0
376,512,512.0,UDS,0
377,512,512.0,UDS,0
378,512,512.0,UDS,0
379,512,512.0,UDS,0
380,512,512.0,UDS,0
381,512,512.0,UDS,0
382,512,512.0,UDS,0
383,512,512.0,UDS,0
384,512,512.0,UDS,0
385,512,512.0,UDS,0
386,512,512.0,UDS,0
387,512,512.0,UDS,0
388,512,512.0,UDS,0
389,512,512.0,UDS,0
390,512,512.0,UDS,0
391,512,512.0,UDS,0
392,512,512.0,UDS,0
393,512,512.0,UDS,0
394,512,512.0,UDS,0
395,512,512.0,UDS,0
396,512,512.0,UDS,0
397,512,512.0,UDS,0
398,512,512.0,UDS,0
399,512,512.0,UDS,0
400,16384,3686.4,UDS,0
401,16384,6225.9,SHM,1
402,16384,8257.5,SHM,0
403,16384,9882.8,SHM,0
404,16384,11183.1,SHM,0
405,16384,12223.3,SHM,0
406,16384,13055.4,SHM,0
407,16384,13721.1,SHM,0
408,16384,14253.7,SHM,0
409,16384,14679.8,SHM,0
410,16384,15020.6,SHM,0
411,16384,15293.3,SHM,0
412,16384,15511.4,SHM,0
413,16384,15685.9,SHM,0
414,16384,15825.6,SHM,0
415,16384,15937.2,SHM,0
416,16384,16026.6,SHM,0
417,16384,16098.1,SHM,0
418,16384,16155.3,SHM,0
419,16384,16201.0,SHM,0
420,16384,16237.6,SHM,0
421,16384,16266.9,SHM,0
422,16384,16290.3,SHM,0
423,16384,16309.0,SHM,0
424,16384,16324.0,SHM,0
425,16384,16336.0,SHM,0
426,16384,16345.6,SHM,0
427,16384,16353.3,SHM,0
428,16384,16359.4,SHM,0
429,16384,16364.4,SHM,0
430,16384,16368.3,SHM,0
431,16384,16371.4,SHM,0
432,16384,16373.9,SHM,0
433,16384,16376.0,SHM,0
434,16384,16377.6,SHM,0
435,16384,16378.8,SHM,0
436,16384,16379.9,SHM,0
437,16384,16380.7,SHM,0
438,16384,16381.4,SHM,0
439,16384,16381.9,SHM,0
440,16384,16382.3,SHM,0
441,16384,16382.6,SHM,0
442,16384,16382.9,SHM,0
443,16384,16383.1,SHM,0
444,16384,16383.3,SHM,0
445,16384,16383.4,SHM,0
446,16384,16383.6,SHM,0
447,16384,16383.6,SHM,0
448,16384,16383.7,SHM,0
449,16384,16383.8,SHM,0
450,16384,16383.8,SHM,0
451,16384,16383.9,SHM,0
452,16384,16383.9,SHM,0
453,16384,16383.9,SHM,0
454,16384,16383.9,SHM,0
