experiment,policy,kind,timestamp,platform,compiler,optimization,message_count,payload_distribution,seed,throughput_mbps,p50_us,p95_us,p99_us,p99_9_us,min_us,max_us,route_switches,uds_messages,shm_messages,backpressure_events,setup_messages,setup_time_us,health_transitions,mean_queue_occupancy_bytes,max_queue_occupancy_bytes,decisions,notes
adversarial_switching,uds,uds,1788624260,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,256,bimodal,20260905,299.5,7.0,26.0,31.4,39.2,5.0,41.0,0,0,0,0,0,0,0,0,0,0,baseline setup_us=0 escape_us=-1 recovery_us=-1
adversarial_switching,shm,shm,1788624260,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,256,bimodal,20260905,182.8,35.0,45.0,46.0,46.7,5.0,47.0,0,0,0,0,0,0,0,0,0,0,baseline setup_us=0 escape_us=-1 recovery_us=-1
adversarial_switching,size_only,adapt,1788624260,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,256,bimodal,20260905,2601.8,31.0,35.0,35.0,108.5,19.0,132.0,1,2,254,0,1,0,2,0,0,256,policy setup_us=128 escape_us=-1 recovery_us=-1
adversarial_switching,size_hysteresis,adapt,1788624260,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,256,bimodal,20260905,2891.3,27.0,30.0,30.4,92.8,18.0,114.0,1,2,254,0,1,0,2,0,0,256,policy setup_us=108 escape_us=-1 recovery_us=-1
adversarial_switching,queue_aware,adapt,1788624260,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,256,bimodal,20260905,2837.4,5.0,13.8,212.6,296.0,2.0,307.0,11,7,249,0,1,0,2,0,0,256,policy setup_us=92 escape_us=-1 recovery_us=-1
adversarial_switching,cost_aware,adapt,1788624260,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,256,bimodal,20260905,1989.6,10.0,42.2,70.4,105.5,3.0,117.0,0,128,128,0,1,0,2,0,0,256,policy setup_us=89 escape_us=-1 recovery_us=-1
adversarial_switching,full_adaptive,adapt,1788624260,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,256,bimodal,20260905,2818.6,4.0,20.8,212.9,261.4,2.0,266.0,19,11,245,0,1,0,2,0,0,256,policy setup_us=102 escape_us=-1 recovery_us=-1
