experiment,policy,kind,timestamp,platform,compiler,optimization,message_count,payload_distribution,seed,throughput_mbps,p50_us,p95_us,p99_us,p99_9_us,min_us,max_us,route_switches,uds_messages,shm_messages,backpressure_events,setup_messages,setup_time_us,health_transitions,mean_queue_occupancy_bytes,max_queue_occupancy_bytes,decisions,notes
setup_cost,eager_shm,adapt,1788624698,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,3000,bimodal,20260905,357.0,55.0,314.1,589.0,633.0,1.0,3236.0,0,2000,1000,0,0,0,49,0,0,3000,setup setup_us=249 escape_us=-1 recovery_us=-1
setup_cost,lazy_shm,adapt,1788624698,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,3000,bimodal,20260905,558.2,22.0,283.1,362.0,427.0,1.0,897.0,0,2000,1000,0,1,0,33,0,0,3000,setup setup_us=232 escape_us=-1 recovery_us=-1
setup_cost,lazy_cost_aware,adapt,1788624698,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,3000,bimodal,20260905,847.5,7.0,166.0,295.0,305.0,1.0,313.0,0,2000,1000,0,1,0,5,0,0,3000,setup setup_us=337 escape_us=-1 recovery_us=-1
