experiment,policy,kind,timestamp,platform,compiler,optimization,message_count,payload_distribution,seed,throughput_mbps,p50_us,p95_us,p99_us,p99_9_us,min_us,max_us,route_switches,uds_messages,shm_messages,backpressure_events,setup_messages,setup_time_us,health_transitions,mean_queue_occupancy_bytes,max_queue_occupancy_bytes,decisions,notes
payload_sweep,uds,uds,1788622256,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,15000,fixed-per-size,20260905,603.6,9.0,78.0,193.0,468.1,4.0,1806.0,0,0,0,0,0,0,0,0,0,0,baseline setup_us=0 escape_us=-1 recovery_us=-1
payload_sweep,shm,shm,1788622257,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,19500,fixed-per-size,20260905,16005.9,2670.5,3986.0,4264.0,4623.0,5.0,4628.0,0,0,0,0,0,0,0,0,0,0,baseline setup_us=0 escape_us=-1 recovery_us=-1
payload_sweep,size_only,adapt,1788622257,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,19500,fixed-per-size,20260905,10705.4,1842.5,4374.0,5246.0,6037.0,3.0,6094.0,1,9000,10500,31,1,0,4,13240251,55574209,19500,policy setup_us=97 escape_us=-1 recovery_us=-1
payload_sweep,size_hysteresis,adapt,1788622257,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,19500,fixed-per-size,20260905,11069.4,1797.0,4698.0,4936.0,5570.5,3.0,5642.0,1,9000,10500,33,1,0,4,13143678,54525604,19500,policy setup_us=88 escape_us=-1 recovery_us=-1
payload_sweep,queue_aware,adapt,1788622257,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,19500,fixed-per-size,20260905,10497.9,1757.0,4066.0,4289.1,5172.0,3.0,5255.0,1,9000,10500,29,1,0,4,13064467,54527460,19500,policy setup_us=89 escape_us=-1 recovery_us=-1
payload_sweep,cost_aware,adapt,1788622257,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,19500,fixed-per-size,20260905,10768.9,2347.5,5238.0,6075.0,7074.0,3.0,7176.0,0,9000,10500,26,1,0,53,14751833,67108864,19500,policy setup_us=93 escape_us=-1 recovery_us=-1
payload_sweep,full_adaptive,adapt,1788622258,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,19500,fixed-per-size,20260905,10888.4,2107.5,4716.1,6214.0,6527.0,3.0,6755.0,1,9000,10500,25,1,0,53,14789603,67108864,19500,policy setup_us=140 escape_us=-1 recovery_us=-1
