experiment,policy,kind,timestamp,platform,compiler,optimization,message_count,payload_distribution,seed,throughput_mbps,p50_us,p95_us,p99_us,p99_9_us,min_us,max_us,route_switches,uds_messages,shm_messages,backpressure_events,setup_messages,setup_time_us,health_transitions,mean_queue_occupancy_bytes,max_queue_occupancy_bytes,decisions,notes
qos,uds,uds,1788624699,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,6000,bimodal,20260905,14.5,10697.5,39566.7,84104.1,96814.2,19.0,104028.0,0,0,0,0,0,0,0,0,0,0,baseline setup_us=0 escape_us=-1 recovery_us=-1
qos,shm,shm,1788624699,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,6000,bimodal,20260905,16.3,390609.0,713952.9,743173.9,747716.1,17.0,748358.0,0,0,0,0,0,0,0,0,0,0,baseline setup_us=0 escape_us=-1 recovery_us=-1
qos,full_adaptive_balanced,adapt,1788624701,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,5707,bimodal,20260905,9.4,11440.0,233070.1,468169.8,789003.7,4.0,807626.0,551,981,5019,0,1,0,34,536323,3446659,6000,dropped=293 (uds rx-queue overflow) qos-matrix setup_us=118 escape_us=-1 recovery_us=-1
qos,full_adaptive_latency,adapt,1788624702,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,5719,bimodal,20260905,13.8,10694.0,213413.1,484269.2,512611.3,4.0,585861.0,355,832,5168,0,1,0,52,259247,1840192,6000,dropped=281 (uds rx-queue overflow) qos-matrix setup_us=233 escape_us=-1 recovery_us=-1
qos,full_adaptive_throughput,adapt,1788624702,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,5719,bimodal,20260905,18.9,5011.0,209407.7,230873.7,232212.1,3.0,232845.0,605,1264,4736,0,1,0,80,164575,1236065,6000,dropped=281 (uds rx-queue overflow) qos-matrix setup_us=198 escape_us=-1 recovery_us=-1
qos,size_hysteresis,adapt,1788624703,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,5794,bimodal,20260905,18.6,11743.0,81637.9,129021.9,131736.0,4.0,131962.0,85,2623,3377,0,1,0,84,90599,693234,6000,dropped=206 (uds rx-queue overflow) qos-matrix setup_us=597 escape_us=-1 recovery_us=-1
