experiment,policy,kind,timestamp,platform,compiler,optimization,message_count,payload_distribution,seed,throughput_mbps,p50_us,p95_us,p99_us,p99_9_us,min_us,max_us,route_switches,uds_messages,shm_messages,backpressure_events,setup_messages,setup_time_us,health_transitions,mean_queue_occupancy_bytes,max_queue_occupancy_bytes,decisions,notes
queue_pressure,uds,uds,1788622259,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,6000,bimodal,20260905,8.5,26544.0,26728.0,26781.0,26832.0,44.0,26866.0,0,0,0,0,0,0,0,0,0,0,baseline setup_us=0 escape_us=-1 recovery_us=-1
queue_pressure,shm,shm,1788622260,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,6000,bimodal,20260905,7.9,733069.0,1426880.6,1483905.3,1496630.2,5.0,1498046.0,0,0,0,0,0,0,0,0,0,0,baseline setup_us=0 escape_us=-1 recovery_us=-1
queue_pressure,size_only,adapt,1788622262,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,5884,bimodal,20260905,8.2,29057.0,29566.8,29854.7,30012.8,76.0,30088.0,0,6000,0,0,0,0,0,0,0,6000,dropped=116 (uds rx-queue overflow) policy setup_us=271 escape_us=-1 recovery_us=-1
queue_pressure,size_hysteresis,adapt,1788622263,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,5882,bimodal,20260905,8.2,29057.0,29530.0,29612.0,29709.0,70.0,29734.0,0,6000,0,0,0,0,0,0,0,6000,dropped=118 (uds rx-queue overflow) policy setup_us=294 escape_us=-1 recovery_us=-1
queue_pressure,queue_aware,adapt,1788622265,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,5882,bimodal,20260905,8.1,29244.0,29919.9,30333.0,30605.6,55.0,30688.0,0,6000,0,0,0,0,0,0,0,6000,dropped=118 (uds rx-queue overflow) policy setup_us=242 escape_us=-1 recovery_us=-1
queue_pressure,cost_aware,adapt,1788622266,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,5883,bimodal,20260905,8.2,29048.0,29507.0,29603.0,29676.2,68.0,29738.0,0,6000,0,0,0,0,0,0,0,6000,dropped=117 (uds rx-queue overflow) policy setup_us=249 escape_us=-1 recovery_us=-1
queue_pressure,full_adaptive,adapt,1788622268,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,5882,bimodal,20260905,8.2,29073.0,29582.0,30222.8,30471.0,55.0,30583.0,0,6000,0,0,0,0,0,0,0,6000,dropped=118 (uds rx-queue overflow) policy setup_us=241 escape_us=-1 recovery_us=-1
