experiment,policy,kind,timestamp,platform,compiler,optimization,message_count,payload_distribution,seed,throughput_mbps,p50_us,p95_us,p99_us,p99_9_us,min_us,max_us,route_switches,uds_messages,shm_messages,backpressure_events,setup_messages,setup_time_us,health_transitions,mean_queue_occupancy_bytes,max_queue_occupancy_bytes,decisions,notes
burst_workload,uds,uds,1788624258,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,12000,bimodal,20260905,404.8,6.0,39.0,76.0,415.0,4.0,477.0,0,0,0,0,0,0,0,0,0,0,baseline setup_us=0 escape_us=-1 recovery_us=-1
burst_workload,shm,shm,1788624258,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,12000,bimodal,20260905,2719.0,747.0,2709.0,2726.0,2731.0,4.0,2732.0,0,0,0,0,0,0,0,0,0,0,baseline setup_us=0 escape_us=-1 recovery_us=-1
burst_workload,size_only,adapt,1788624258,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,12000,bimodal,20260905,60.2,6.0,22.0,73.0,104.0,3.0,109.0,0,0,0,0,0,0,0,0,0,0,policy setup_us=122 escape_us=-1 recovery_us=-1
burst_workload,size_hysteresis,adapt,1788624259,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,12000,bimodal,20260905,59.8,6.0,34.0,196.0,385.0,3.0,978.0,0,0,0,0,0,0,0,0,0,0,policy setup_us=257 escape_us=-1 recovery_us=-1
burst_workload,queue_aware,adapt,1788624259,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,12000,bimodal,20260905,59.9,6.0,52.0,219.0,291.0,3.0,306.0,0,0,0,0,0,0,0,0,0,0,policy setup_us=126 escape_us=-1 recovery_us=-1
burst_workload,cost_aware,adapt,1788624259,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,12000,bimodal,20260905,60.1,5.0,17.0,68.0,114.0,3.0,137.0,0,0,0,0,0,0,0,0,0,0,policy setup_us=135 escape_us=-1 recovery_us=-1
burst_workload,full_adaptive,adapt,1788624260,macOS,clang-21.0.0 (clang-2100.1.1.101),O3,12000,bimodal,20260905,59.6,6.0,36.0,90.0,132.0,3.0,147.0,0,0,0,0,0,0,0,0,0,0,policy setup_us=150 escape_us=-1 recovery_us=-1
